isbn,isbn13,isbn10,title,author,authors,category,categories,publisher,year,published_year,description,keywords,language,availability,availability_status,copies,copies_available,total_copies,copies_total,borrowed_count,expected_return,expected_return_date,shelf,shelf_location,popularity_score,difficulty_level,target_audience,table_of_contents,average_rating,ratings_count,source,semantic_text,combined
9789310000010,9789310000010,8100000010,Engineering Mathematics: Calculus Casebook 1,A. Sharma,A. Sharma,Mathematics,Mathematics,Pearson,2024,2024,"Engineering Mathematics: Calculus Casebook 1 is designed for college library users studying Mathematics. It explains calculus, linear algebra, and probability with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Mathematics; calculus; calculus; linear algebra; probability; discrete math; optimization,English,Available,Available,3,3,4,4,11,,,E-11-3,E-11-3,0.5,Beginner,engineering students; CSE students; exam preparation students,Introduction to Mathematics; Core concepts in calculus; Tools and methods for linear algebra; Solved examples; Mini project and assessment questions,4.0,1020,books.csv,"Engineering Mathematics: Calculus Casebook 1 A. Sharma Mathematics Engineering Mathematics: Calculus Casebook 1 is designed for college library users studying Mathematics. It explains calculus, linear algebra, and probability with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Mathematics; calculus; calculus; linear algebra; probability; discrete math; optimization","Engineering Mathematics: Calculus Casebook 1 A. Sharma Mathematics Engineering Mathematics: Calculus Casebook 1 is designed for college library users studying Mathematics. It explains calculus, linear algebra, and probability with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Mathematics; calculus; calculus; linear algebra; probability; discrete math; optimization"
9789310000011,9789310000011,8100000011,Modern Physics: Optics Casebook 1,R. Kumar,R. Kumar,Physics,Physics,McGraw Hill,2025,2025,"Modern Physics: Optics Casebook 1 is designed for college library users studying Physics. It explains mechanics, optics, and electricity with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Physics; optics; mechanics; optics; electricity; magnetism; quantum physics,English,Available,Available,2,2,5,5,14,,,F-12-4,F-12-4,0.67,Intermediate,engineering students; physics students; first-year students,Introduction to Physics; Core concepts in optics; Tools and methods for optics; Solved examples; Mini project and assessment questions,4.7,1117,books.csv,"Modern Physics: Optics Casebook 1 R. Kumar Physics Modern Physics: Optics Casebook 1 is designed for college library users studying Physics. It explains mechanics, optics, and electricity with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Physics; optics; mechanics; optics; electricity; magnetism; quantum physics","Modern Physics: Optics Casebook 1 R. Kumar Physics Modern Physics: Optics Casebook 1 is designed for college library users studying Physics. It explains mechanics, optics, and electricity with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Physics; optics; mechanics; optics; electricity; magnetism; quantum physics"
9789310000012,9789310000012,8100000012,Physical Chemistry: Polymers Casebook 1,S. Iyer,S. Iyer,Chemistry,Chemistry,Oxford University Press,2026,2026,"Physical Chemistry: Polymers Casebook 1 is designed for college library users studying Chemistry. It explains chemical bonding, thermodynamics, and polymers with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Chemistry; polymers; chemical bonding; thermodynamics; polymers; materials; environment,English,Available,Available,1,1,6,6,17,,,A-13-5,A-13-5,0.84,Intermediate,engineering students; chemistry students; first-year students,Introduction to Chemistry; Core concepts in polymers; Tools and methods for thermodynamics; Solved examples; Mini project and assessment questions,3.8,1214,books.csv,"Physical Chemistry: Polymers Casebook 1 S. Iyer Chemistry Physical Chemistry: Polymers Casebook 1 is designed for college library users studying Chemistry. It explains chemical bonding, thermodynamics, and polymers with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Chemistry; polymers; chemical bonding; thermodynamics; polymers; materials; environment","Physical Chemistry: Polymers Casebook 1 S. Iyer Chemistry Physical Chemistry: Polymers Casebook 1 is designed for college library users studying Chemistry. It explains chemical bonding, thermodynamics, and polymers with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Chemistry; polymers; chemical bonding; thermodynamics; polymers; materials; environment"
9789310000013,9789310000013,8100000013,Microcontroller Electronics: Vlsi Casebook 1,Meera Nair,Meera Nair,Electronics,Electronics,Cambridge University Press,2014,2014,"Microcontroller Electronics: Vlsi Casebook 1 is designed for college library users studying Electronics. It explains circuits, signals, and microcontrollers with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Electronics; VLSI; circuits; signals; microcontrollers; VLSI; embedded systems,English,Available,Available,7,7,7,7,0,,,B-14-6,B-14-6,0.46,Intermediate,ECE students; embedded engineers; electronics students,Introduction to Electronics; Core concepts in VLSI; Tools and methods for signals; Solved examples; Mini project and assessment questions,4.5,1311,books.csv,"Microcontroller Electronics: Vlsi Casebook 1 Meera Nair Electronics Microcontroller Electronics: Vlsi Casebook 1 is designed for college library users studying Electronics. It explains circuits, signals, and microcontrollers with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Electronics; VLSI; circuits; signals; microcontrollers; VLSI; embedded systems","Microcontroller Electronics: Vlsi Casebook 1 Meera Nair Electronics Microcontroller Electronics: Vlsi Casebook 1 is designed for college library users studying Electronics. It explains circuits, signals, and microcontrollers with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Electronics; VLSI; circuits; signals; microcontrollers; VLSI; embedded systems"
9789310000014,9789310000014,8100000014,Renewable Electrical Engineering: Renewable Energy Casebook 1,K. Srinivasan,K. Srinivasan,Electrical Engineering,Electrical Engineering,MIT Press,2015,2015,"Renewable Electrical Engineering: Renewable Energy Casebook 1 is designed for college library users studying Electrical Engineering. It explains power systems, control systems, and machines with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Electrical Engineering; renewable energy; power systems; control systems; machines; circuits; renewable energy,English,Borrowed,Borrowed,0,0,8,8,9,2026-06-28,2026-06-28,C-15-7,C-15-7,0.63,Intermediate,EEE students; electrical engineers; engineering students,Introduction to Electrical Engineering; Core concepts in renewable energy; Tools and methods for control systems; Solved examples; Mini project and assessment questions,3.6,1408,books.csv,"Renewable Electrical Engineering: Renewable Energy Casebook 1 K. Srinivasan Electrical Engineering Renewable Electrical Engineering: Renewable Energy Casebook 1 is designed for college library users studying Electrical Engineering. It explains power systems, control systems, and machines with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Electrical Engineering; renewable energy; power systems; control systems; machines; circuits; renewable energy","Renewable Electrical Engineering: Renewable Energy Casebook 1 K. Srinivasan Electrical Engineering Renewable Electrical Engineering: Renewable Energy Casebook 1 is designed for college library users studying Electrical Engineering. It explains power systems, control systems, and machines with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Electrical Engineering; renewable energy; power systems; control systems; machines; circuits; renewable energy"
9789310000015,9789310000015,8100000015,Mechanical Mechanical Engineering: Thermodynamics Casebook 1,Priya Menon,Priya Menon,Mechanical Engineering,Mechanical Engineering,O'Reilly Media,2016,2016,"Mechanical Mechanical Engineering: Thermodynamics Casebook 1 is designed for college library users studying Mechanical Engineering. It explains thermodynamics, fluid mechanics, and machine design with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Mechanical Engineering; thermodynamics; thermodynamics; fluid mechanics; machine design; manufacturing; CAD,English,Available,Available,7,7,9,9,4,,,D-16-8,D-16-8,0.8,Beginner,mechanical students; design engineers; production engineers,Introduction to Mechanical Engineering; Core concepts in thermodynamics; Tools and methods for fluid mechanics; Solved examples; Mini project and assessment questions,4.3,1505,books.csv,"Mechanical Mechanical Engineering: Thermodynamics Casebook 1 Priya Menon Mechanical Engineering Mechanical Mechanical Engineering: Thermodynamics Casebook 1 is designed for college library users studying Mechanical Engineering. It explains thermodynamics, fluid mechanics, and machine design with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Mechanical Engineering; thermodynamics; thermodynamics; fluid mechanics; machine design; manufacturing; CAD","Mechanical Mechanical Engineering: Thermodynamics Casebook 1 Priya Menon Mechanical Engineering Mechanical Mechanical Engineering: Thermodynamics Casebook 1 is designed for college library users studying Mechanical Engineering. It explains thermodynamics, fluid mechanics, and machine design with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Mechanical Engineering; thermodynamics; thermodynamics; fluid mechanics; machine design; manufacturing; CAD"
9789310000016,9789310000016,8100000016,Structural Civil Engineering: Concrete Casebook 1,Daniel Roberts,Daniel Roberts,Civil Engineering,Civil Engineering,Springer,2017,2017,"Structural Civil Engineering: Concrete Casebook 1 is designed for college library users studying Civil Engineering. It explains structures, concrete, and soil mechanics with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Civil Engineering; concrete; structures; concrete; soil mechanics; surveying; construction management,English,Available,Available,1,1,2,2,4,,,E-17-1,E-17-1,0.97,Intermediate,civil students; site engineers; structural engineers,Introduction to Civil Engineering; Core concepts in concrete; Tools and methods for concrete; Solved examples; Mini project and assessment questions,3.4,1602,books.csv,"Structural Civil Engineering: Concrete Casebook 1 Daniel Roberts Civil Engineering Structural Civil Engineering: Concrete Casebook 1 is designed for college library users studying Civil Engineering. It explains structures, concrete, and soil mechanics with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Civil Engineering; concrete; structures; concrete; soil mechanics; surveying; construction management","Structural Civil Engineering: Concrete Casebook 1 Daniel Roberts Civil Engineering Structural Civil Engineering: Concrete Casebook 1 is designed for college library users studying Civil Engineering. It explains structures, concrete, and soil mechanics with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Civil Engineering; concrete; structures; concrete; soil mechanics; surveying; construction management"
9789310000017,9789310000017,8100000017,Business MBA: Finance Casebook 1,Nisha Verma,Nisha Verma,MBA,MBA,Wiley,2018,2018,"Business MBA: Finance Casebook 1 is designed for college library users studying MBA. It explains management, marketing, and finance with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",MBA; finance; management; marketing; finance; operations; strategy,English,Available,Available,3,3,3,3,4,,,F-18-2,F-18-2,0.59,Intermediate,MBA students; managers; entrepreneurs,Introduction to MBA; Core concepts in finance; Tools and methods for marketing; Solved examples; Mini project and assessment questions,4.1,1699,books.csv,"Business MBA: Finance Casebook 1 Nisha Verma MBA Business MBA: Finance Casebook 1 is designed for college library users studying MBA. It explains management, marketing, and finance with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. MBA; finance; management; marketing; finance; operations; strategy","Business MBA: Finance Casebook 1 Nisha Verma MBA Business MBA: Finance Casebook 1 is designed for college library users studying MBA. It explains management, marketing, and finance with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. MBA; finance; management; marketing; finance; operations; strategy"
9789310000018,9789310000018,8100000018,Indian Economics: Policy Casebook 1,Arun Patel,Arun Patel,Economics,Economics,Apress,2019,2019,"Indian Economics: Policy Casebook 1 is designed for college library users studying Economics. It explains microeconomics, macroeconomics, and markets with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Economics; policy; microeconomics; macroeconomics; markets; policy; development,English,Available,Available,3,3,4,4,6,,,A-19-3,A-19-3,0.76,Intermediate,commerce students; MBA students; economics students,Introduction to Economics; Core concepts in policy; Tools and methods for macroeconomics; Solved examples; Mini project and assessment questions,4.8,1796,books.csv,"Indian Economics: Policy Casebook 1 Arun Patel Economics Indian Economics: Policy Casebook 1 is designed for college library users studying Economics. It explains microeconomics, macroeconomics, and markets with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Economics; policy; microeconomics; macroeconomics; markets; policy; development","Indian Economics: Policy Casebook 1 Arun Patel Economics Indian Economics: Policy Casebook 1 is designed for college library users studying Economics. It explains microeconomics, macroeconomics, and markets with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Economics; policy; microeconomics; macroeconomics; markets; policy; development"
9789310000019,9789310000019,8100000019,Workplace Communication Skills: Reports Casebook 1,Leena Thomas,Leena Thomas,Communication Skills,Communication Skills,PHI Learning,2020,2020,"Workplace Communication Skills: Reports Casebook 1 is designed for college library users studying Communication Skills. It explains presentation, writing, and interviews with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Communication Skills; reports; presentation; writing; interviews; group discussion; reports,English,Available,Available,5,5,5,5,6,,,B-20-4,B-20-4,0.93,Intermediate,all college students; placement students; first-year students,Introduction to Communication Skills; Core concepts in reports; Tools and methods for writing; Solved examples; Mini project and assessment questions,3.9,1893,books.csv,"Workplace Communication Skills: Reports Casebook 1 Leena Thomas Communication Skills Workplace Communication Skills: Reports Casebook 1 is designed for college library users studying Communication Skills. It explains presentation, writing, and interviews with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Communication Skills; reports; presentation; writing; interviews; group discussion; reports","Workplace Communication Skills: Reports Casebook 1 Leena Thomas Communication Skills Workplace Communication Skills: Reports Casebook 1 is designed for college library users studying Communication Skills. It explains presentation, writing, and interviews with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Communication Skills; reports; presentation; writing; interviews; group discussion; reports"
